id,название,тип,цена,ширина,длина,высота,материалы,цвета,новое,бренд,url_товара,url_картинки,стиль
1,Диван-кровать,диван,17039,80,195,78,рогожка,"серый, бежевый, кофе, коричневый, синий",1,hoff,https://market.yandex.ru/card/divan-krovat-hoff-parma-tsvet-temno-seryy/102268055450?do-waremd5=4hOigK-grPOxJvUmo2r-bQ&sponsored=1&cpc=5muorCbdss0IppffVmhxb-_CU-QGYshRn-9NNBGqcoYOkc4keYsnF6g4vQEpKQJm8UZhjWCzb4cldJIi7qIVb12UW3AsxxdA_JlaV5ew66gpaHIAh62BhnwlBkkZupFtKJrsMBPUymNhoKfYqvAt0qLTQzNesOhA4hKvbY7_Ckl1lkphM89ZznS5fu6k5ljRcdCuDDz017ItK8x-e7MlBNqiXK3CmqPO91g2vmzocbUcsedwhLb8gHdBtSyBjpqW53C_EbZFxbe3pE1-xEn1uepxoRmbcGMUbIq8v8SrbB1i0HDV79jyev3WZsG4zUu_4SlLHk0B9wvvMdwdQD3Qyokwc-LdG8QP7q7j-YlnqcuWGb5VE7Z3ssf6yoBMOIR7zi08R7ZcJ1KpUuVruW1qynXXDW_Db1D2dUGYKUBInlRyHN5V8YNTIgcr4fMxz-M7ibvcwW2lWYROHeCKfMVuBxpM21mXiqPDlaLwfcsu8DjWQcWJPdWC_WD3HYucvgsZMXBEC0qnf2dix5Y425K28Co6HHWZbJRKJNff8eow5nLL55i-I4Y35CVOUTmaGXmtipj40hAOv9jQet8ZEB7j-h6LtYn0a3t0lhc1yb9CVrd2hdvUr3xiy9HkBI7uLdvkNHOI2St2kGy8mNpkXQP6c2lDBhAuu2DOtrCM8rCI6rIzJJaXpkz2Fbvv-RHhRp0gt6PC_hNx56WuW9NqnE-PVFwXHsqEKt2ss2dYfKEGE2LVwDCNh1P2wTdCG7Su-zYAM97BO8Y3zFdrD2l4-lQUGbieBwzP-dp12Z8ByxzvEGNFaglHpCqoMq_4_pLFX55alEggguuXAeodgcwGTn_6PDUbFHm134HfcFtrx_3VP3OrD2Upmy6oVA3e59eFGlVc6-TK_tV1q2Xx1aD5KygS52KfFxh9vb5mDl13lIvq75xnpxab0y1aLXgOFmunNjfR_1PU3skfCrY7NCTAsMsqyLgIz1PdHJg1qc15Dqwo5FO1vSeP2l5O2q1vZLK-FQj84Os1vuHtk7K-V3-pxyWMoJaBdzNcz7ehfBgekxrLC0oJqa0v_IiQORYqX-48MfHFpqVW7yZJkk6vdhxTR77n8um7mQep-ZwyTtXicmXXi7604GpKOHiBorbB4NA8A022YHI52R5yzOJeBzZrItObTO0hiOftrhr9NW1ot4DlFlQjCpHcFFD_WA%2C%2C&nid=61984830&ogV=-12#fullSpecsAnchorId,https://avatars.mds.yandex.net/get-mpic/12200529/2a00000193bad9db36f33ea2c4e6d7abaf18/optimize,современный
2,Диван Эконом стандарт PARMA-25,диван,15068,70,195,90,микровелюр,серый ,1,мебельная фабрика рай,https://market.yandex.ru/card/divan-ekonom-standart-parma-25-seryy/4469704190?do-waremd5=YnO52xPUKJVxi7mPqfm2kA&sponsored=1&cpc=5muorCbdss1KA1mL-vBI4zn8R58JuAr9_yh5SxcxR9ua45UARZIKQgUVUxfyIjocGz-0pTwZVpwfmIE5EmYQwsvycVvTSyYPAoJEWpW1jJvCAivZfEFun49UPjHkzL0YLCWKmkODM5arNiI0zzFpsnM4AKF2MMWCim1VUaDp2u3HHJgNxUbHc7kRkTdlM9IT1MUoA7AafW3uTKD2yls8bLknYr0JfS9UYLvTMkZJyufwlySY-upWlXzavH95rwRvKtE3B6_xXKprP9dTomTZ0njPPi_1JyTVYUAoPqEs68vjSAzomawNNktWu6s0u1i-QEiPJc2hftfbqrHMgmJdw7lw9ARC_lDYhw85KcoP3Cbr2VDfl3asl85QCHLZ3lIlCxqxD8mVWdgaeYmZky4h4Qq7RVYS0Gi0sW06yQyxp6evah72pCNHRY2jn_dbyEluEhHkSFEZgBdLo_kquIkqeVHeCdND9di6R2F4h8ogBDRcxXOAZ1lWbqZAII6r-70zKWsYdvpK0ynuNh61Y2viq6xsgTnfJed7w32xTqSKdEmzALB5_AXw6M-Ja72JCs6oBUsVqPnywSCfzVyK70VTNZMrIfQLozK-9XXB4Zwh7YuO0NtmG7aON-ycohpNK6tCRkiRlqUvKQn1aa1N6cBt0IfD0UlhQcsVEH7nP5dxneJAE-MJDwxEhWT5V79lj_Q1LbWrf4DcYl4cuu4lkJYO1YFtM8EH05OqsXSxSZH9LsT3Zty4aI2dIME5VAWMhqNpDllgk94GSFDWaNkbAtKMFX9QlgysdZ3vDduiEqajFZf5xksOGO_9LTN69JQVWOaO396DMowvdkwLHpllaM5-KVIZV1J3xlt5l9h3NrpAxC7veiNypviIZTR0FjWyJE14VZzeSrpddTCr8WFvWmjzjQSFy-ZNUr3XYfRe3HMNxbRM4mt95ranYjorFkAl9jemBFN91x-xsJb1ooHlxQRsUNAeTl_vtNB3vkcSwP4YgkzU9vlD5ZtcRig_aa0W_GsDeEFzk47QSqoBGQoy9stV_w%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/16154795/2a0000019b081e6e1de052b345108b77d640/optimize,"лофт, современный"
3,"Диван раскладной двухспальный, еврокнижка",диван,27790,91,210,70,велюр искусственный,"серый, желтый, синий, фиолетовый, коричневый",1,mnogomeb,https://market.yandex.ru/card/divan-krovat-stella-yevroknizhka-seryy-velyur/102167403717?do-waremd5=dFjn9HnFp-qNpZ2jV_LU6g&sponsored=1&cpc=5muorCbdss3pvI7wsT3qxIDRs5dKgmVqQT5FFvM8f5M9IardA7UZTQuDRhPngQu_T4NrfdI8Z3X_NsE5K3brgvxNPmSqkBMz0w5tSzAoZv4MV9JSW2O1r7pM0i-sN83JnwZXtXtmIpXOSZcKrwB0fBmwkqobplDUcqgJb7VL0cHZJOMWXXb5QfblkvI_BVT1r3_DTqsZvvvV2-MxKU-m8zJ71PIFckYf6AbLzAy96sU5gyRyh4XPLJHtv918sz78pXHLPE4gZo9_jjFGQtqs3I2p8Ij2rL5Z00pu1rdyBPXAMRK9n0DimajQbziYyY9_KPTmaXs6nX_Lf3myZddMpsTu_qQUtT8DamoMJSqoTH7O6XoxWf-dfcHi8CLO2LFfTjtisHX44RfAIdsEjRtK8D_RCVlQQwLBY3eFeBVXZThmLehci66ZZRo5FEykEtVyDDRbj7VQVxgcyk65wtYIt5azuvOG0_Xe7MJoAPOlMWr3ra1VI8kUr_thtHKgohItHhVMNRg29HgA3TI6FpzBpcNkQKZYMjQ2UcDNYIJI0ldFBf6LU_CcXN4iHimE9jEcsBCHOzoHAlorkWH9YT6m1PjtxspskHFDM2y5apWQT9RmQjp8FSeyTWssx7OZ_aBrVW7FrtOnhRhVpnWER33mpcw7zjMcgTB9MQWQoyI7x29tl_EIeCuYArY5eMEImwzIIvidNOlMhPf-9ijFPOvtZdrolmrRSSDBaJw_oNb3AfkHSNBfo-6DlCJssf0aIe4gq80CW8tqQUN1Gs8i6gzoCJVO94r8abEI09m6wWPEHaUDqu06akqEPJG4MQaz8WnF-XSVUBGvgMmy-ZWPKA2B010zoQLGK3CNA7Ibh5U8GfsWHHWMX4Qktwm23uYLklYpENewKdwLD-gr1FfpsLzdW76Cq38M2MhcfbrZl9rj0WuS_ttc49zlVXPQUzqQZbzxJWNHqJuI_j9fjCDzfuKVtc-c3vEibHVFEmnscIaji6JGzsv6-poDS9BASM8DMnU9iiva7ld4EpY7xCY9VaQPwQ%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/5288781/2a00000195268cf800e2a169d8d53d496a90/optimize,современный
4,Диван Комфорт,диван,34500,92,210,102,флок,"черный, бежевый, коричневый, салатовый, серый, синий",1,торг мм,https://market.yandex.ru/card/divan-komfort/5084277100?do-waremd5=atAKy_xxu64sklBfGs8JYw&cpc=5muorCbdss3ujGd2wULVrH7Rvk4z-Huo-Gyyt-lvG-noydWIBdmTy1fPlmf9yLffhORcP_iRn0lpY5-fC2QLjo4sjEJCeJcB5r50rGwsS2XI05BVyP0KD6xIjkoR5TfcSCqAe6tE8k-HfO3VRcTv35nrF2QJEBtbshpbs1_00aKAJ13Yc_qHUf95ZnmFYXgz9Q2WhR3OZFuuFOPuxYScU5WbCUJg-A7RE3DD8oe_KakvDKHC12pNy-t3rB4_Bn2dhsjdUBFySBJFSu82v823t9C1SpbgOzSmnWBldEgJWHAi7-dQkvzjxzGEBtY_4pUz0n71k42jPvKH26GzcbYFM7ka0omweIHYV8Sfc0geNlO-MpQmkX-ASpUY4J_x0_KX-Zl0wd6hK9p2tSDW7306u_6hsDv3k3LwZcuwIIhaAQ9JT5x4RSvjELaQucKh3IkVyMnIjzY2uMFzeXjNHS4qBtbV56gC3zC2iPAk-MFhsUKi8mAl-_iaJ-sJAVt0mFXNILt_EXMo1F9pAFcVQoh4gczY5CP5gD89xAkpFnzyzitarZGZY7UY4Pp70IHULRqlnFy-OmBWM8CBCrGDtJHFnP-K4zhvd4-bJSECnph9q4NglxQsKKESnFpE-d2Wl_sdgSLLaYklPhvhpJJ_1Jqr67YkWQefLbln-2O8bzAQwagV70DexQo_4xnEkis7lrwUfnXgizM05ArCuKiPrcx81tH2xt7r8XkjknbZ50dzpFLcICEfWLqdg7NK4g0igb5IR-bTsj0jJKARTJemzxA7xLhHE5l7hQBph8BRmuXAy8B0L3Svq5VmF895htZ2aX_pqABWzfRYkKTD_4QlLKjn8neiX_TC6_sp-1qWBabi-dzGwyeWlpQOXBQG38dcXvLjZWbfjSHIA2ScT74a9Gh4hqn4WtkZsXq0DhnyNmbaWVd4a39eoTDq1m8v4B0lnlyKN0jDtjtBTQ0%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/17754668/2a0000019c1063dcda2c3a1eb70a9984a15b/optimize,современный
5,Диван-кровать Hoff Атланта,диван,25199,79,226,87,рогожка,"серый, бежевый, кофе, коричневый, синий",1,hoff,https://market.yandex.ru/card/divan-krovat-atlanta-1101-temno-seryy-moderno-domino-02/4680156219?do-waremd5=yOZwpNQ0MG7I7Gfk25PAig&sponsored=1&cpc=5muorCbdss33Igf7A-CCMuUVEc0TAGY-0udbVJOIDiYVXAsRZzuNT0TtwspgHeK5A0ekdvecDfaL3qexz6oLDQ01I_UZsYLuTZYeTQXr-DESTTlzMamdQVPm94MG0vo2Rb3oEuKzqs3qhDXNNgNiiuY7Ev4GT1hJUpQfq8ce7bvPbGHIhacXgyhV3gvlWzVJXnCeZsBpy7pv_egM5Urr5Jz4QYZYAAwxjBNjrO4C7aNftm-FL6yJzRR-FgPZntodcpVWO7O0en5SGFqez0d9V_JA8jH8H1BsiSXHOJXCi6Kcig4twnu1tDyiNjuiu3VH5hIBCm0jEnlDnoQyTwbcPJW3bDvQLFeyWA83gYhbideHxZmOp6v1zo_1ZSwv9i0mFFjRWQqtSh5O1yUKIguFD1k7r_5IJmJj5kOOR9JH00ZWn-vfjMRRFsZ9QX0pLAQFTHK4YQPk6DuJclwC7NqrMdmGwGwozhTZ2PV_XGSSx2XdWuZkVgSLuIK793x1671jc75YJzNJ64Oc1P2d1m6OFpr5P_gVIS2Pw4t8PSgG3u_1WPl_SQFmXh-mSUrhgDRZM4LZlLk9fxADD76KVINtFg8lOV46gzexn_XFA2-PTrcvopgk1ZCnGy9DYLBxoMGMqmE7KX-AWy6xW14k_EpNk7kdjBQNJ8NAt8Hho0M-eRI6VC7ZPtdwiVbRHNU7_F6wc_MME0-iWMxWbwrL1lDMVrCxwlIy2r4uQeKjYWoayIgMaRclJZZeUQ6eocepCwLViYv8yicyk4hV_bf-aerdVQFJc7FvQ6MPkQK_8jPgslsc0SMJZJXfUxCKWiahMGSGJqfspKQbajsKWpoE10oKw0VpDAGOw8M6Wi0CSjkFCtvK7YuoQdcKNWjXu3RyiiqjkylKOki_Ai_BAu9KoRluiDidzCb5zqgf1c9pQ6yZRfnnFWC2kyv2xdNs40dy05TMNhQg8KQEdX1L553u6rzKbP5m3iGF0J4sz_vHZaR1DwK8nPvPbaPNhdzwPN09rPhTQB-_skp0rpwSzR_bneDirA%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/5277279/2a00000190ce7ece136436a3b73350da2f10/optimize,современный
6,"Диван кровать раскладной прямой, Книжка",диван,18322,85,212,90,велюр искусственный,"серый, бежевый, бирюзовый, бордовый, зеленый, коричневый, синий, черный",1,mnogomeb,https://market.yandex.ru/card/divan-krovat-knizhka-v-velyure-astra-svetlo-seryy-120-ppu/102167411415?do-waremd5=AazzwCvkW1hkOme1mHjs5A&sponsored=1&cpc=5muorCbdss1fYPmPmhiGyqV36Js6lFsfyToQ9Lx_tVapdkTU5PXJv0h4HgGMaRPCic_AkkrUHnbwup16Jx60NMowQ5lRt5SQ9Cfkp-AKf9Z-MxYRi8knbet1hNuCdJBGKVDLO-h359lltEhZfLQdj7bRJmHjUlLAoLObon0ZxuEutI5N8PloHprcCvX9tMGEF-erdouZ0_zULFrBa7tjWVxrz_KmdWXGUGPq9snqZ_Hlf_2nlI2RcOU05Zjp7SApUjKtal6DzZJL75itxLPSRQHBkhZY0zDaWjDpovRE_lK9_ctUvsOxkIsi1CPI9orxHQhrEUh28bTQig_eW1483qAzSIWXEHz1aRKzZwXxnnJSmZmXKsMLli9206JL1ouA9Kdgu7s6UXYsb5KcZfdH3RSrQMWzafqoAx3dGYXAG7eK_XnFp2-yF3KfvUvlSPvvl8wfknYR5xSlfpywrkoHigVcsvNJFPNarELl6wRuQOmQeCy0u8jYWaSm0nAKIpsy8sXAIjn5H2p-r0h2s4h0MchjBsli2PXGbellDxjZvwC74X6qXHdfWjTM1JyWmhGX7V6PiH0bIbH2lA0ynCWfAovJNbUw6hLKS4J6E92rOXPTNeGMMX9pyp7wlOQrEqm3VsJ1WmySZjAiSsr2TfYjJ1zmwnmo7aWVTWlRlXTa0B8PPWttEvMuikcMIH0rZvRL7440lUS8XAD_6fOSVG4XLUVQnyDeBADk0yO-34WcxA7ymtIiSwrDtS06-RvMIblLk2MXYB1m7vFpV3eC2ZW7ZsieIkpDJgnPsSmX0giiNlv0TmcqEZK7w3Z_vltNF4x82EJvbSqg8Rk8qIsgJiDHzRVC-yaWgKm04ydm-YTeYU8jLY49KEFryi0qcic8yEowLi2ecokw6hdlzuqDQEzSC4I1DtY5EUBO5BwL9BXE6s7YbMrP_XGCTD0qkIiobit82D0-z58Dq89Hyo4a79GD2hY1FERL8GEKOZAZtXcqG7Px0XCN34rk-cTK8wTCpNJJ9MpOkfQvwp-XJJADSfKfAQ%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/4397006/2a000001954525240aed053c0bc924bf5bfc/optimize,"минимализм, современный"
7,Диван кровать прямой раскладной с подлокотниками,диван,36000,90,210,90,велюр искусственный,"серый, шоколадный, бежевый, коричневый, бирюзовый, бордовый, голубой, коричневый, металлик, серебристый",1,velsora,https://market.yandex.ru/card/divan-krovat-pryamoy-raskladnoy-s-podlokotnikami/4515860631?do-waremd5=Yx4lQwTmqu_X7RXZChL_Bg&cpc=5muorCbdss2rbOGV5ZZj3JFcjs0KEYeCL0z9gGKafJRTLlI4i6836NTzai4XbU3ODyXI6LJssctEkv_X6m8QUwnWh9AmF4q_1ClymO1Wop7MKXUdzbjJmLfg9AQIt4VZQQ0VEpkEVw8B0VA3vX8qLcok2tqA8719JlWjJ-xdzJ-SUvw-BNQCKRLY1NoOsBj-91fDHUlBtvUmBSGvlebK_961XRVAFN8_aP3N24g2pgVLTAJGF8shtcm7u5Y5z2A_sQsvavH2qvp4H3KIBdQohJL5MUbt32W3NXKqo9eMVHXdIU7FI8GnzUTQFG51mCFkwWGeQNiJ-1gGbmvdCmxysrPK9K8TkJSQjwEXv9wRFzuSXzoAqLyfjbnKBcNirhr-HUI05TFgOB6552iUIHp4kjEdKrZyTeT4r46VnwSyJ7zYxhMjF8uFDRQXsh8Ww2gl9_nu8d-TDC69zmqooWDeZKWp_n8XovQyoGAJfkjCzYSiBe1vuKHRvbLkR9qOy0OLeIRSxhlKya2Jotyl3XKrI83XqIlnw4fJCKRemux_S0aRx_K_nEJ8KcKlj6j0P7pDeun5jlFsxHRDaoTOLIuTZjUO61PASvnAm4aPb7gJ7EMa8FoW9f4T24sB7b-BFsj2qFlHzGKgc0OsOYuhWkiOk22znuTNqArp1c19Swa9W4ROv4z0M2XLZELzMZHcUy9bWOjuTFP-uQVd-b1qqSl4uVuE6ZjoOxIO7LMicQmNAOgXRJH6kmPnk8kSrzfJep8a_eDOvOM1i_sJGgj1n7WtwRT4vZGB9tMu_mXn1IlAFh1tHe3-FTM1NYveNPTgYC9H6wUP88UXh8BDHA2OCD7qhF6rJ8v6Z4A2GUC1T1lFldSHObmpAVQPOaTZBabv1UPMUueAqlCKy6jRy3-4rOpXGesowYsU5tnF2EViQMiA9pB9pEXLEVLODY1Kv9EymFiPovoLR89I_4BWfefaJeDAOWTVK-Evw5f1AWeb7F-KerS7LlMSBMuJIWR-KRzFI8g0dTHZmfA3aoDtYnxkNBZErS9UqSpxNWMsmCnGywJNxv-ki2BXjTk1aER8FlyXtDlAHlHmgdmFNpXzIYTm_IuQMusI_YkBM4c74yF2jEx1TbzsPET3hKWhr5v7ZQ8Q11kJ2a8TRIqSl4A%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/16488918/2a00000197f84ecc55aa6842512bd0a428c8/optimize,"минимализм, современный"
8,Диван Монреаль,диван,18990,54,120,75,текстиль,"серый, белый, горчичный, изумрудный, коричневый, красный, пыльная роза, салатовый, серый, синий, сиреневый, фиолетовый, черный",1,salon tron,https://market.yandex.ru/card/divan-monreal-seryy-v-kholl-v-prikhozhuyu-na-kukhnyu-v-salon-krasoty-v-restoran-na-balkon-120kh54kh75/103186484689?do-waremd5=6WAc4OocSPt2pBWkeb6WDQ&sponsored=1&cpc=5muorCbdss1VMfzEQXH2-kpJLR2hLJEQnb1F0A7p0jtyfhto4I78MSl5dvARIBmHMnv92jWQb1nQfWf4wQ8L1iYcjjidFZ2UtFK4Ceu1oeJMBnkFZek7HZtToElBUDCQWwJ7dyx_mu9qZ0_6YTm1Vih3JJWQBieoOaP4nGKsRbZIRZqJZ54ayCM9l4kbggRfsDyAzbuX2vp0FkOfX7kI9-u53FK1oYwLpGq_jOkBv_BIP30Jhtg9YOLtaPHorS20_2jMf_TtZck98Ct34W8aZjRb0Rm4MrvrNxpCwmrXMORq33wU17JwOiYFqIJ1vX1tuBxf-UI1gDuVKTMqERrfYyUDsddALB7CaNOXrwFze0qVSFPrkmdi7-Tsg3Yp3ca-dfW7_OJGZBvgui3mwAihjd9BOvTcze0wtGfG79PE4YefLGi1agviE49Bvd23GRv38vSXbpb-TAF28pbZr9fSj7-4OSgw6Dd9JvV9n_81paychfK3-hZs1jnvTih3_mWT-_UaF9O7ToT6_guYns6ZO2retZlkdmIoSUFuaOV-mrLcEKAUpuMeXnFrtYfNfFPV-ZcPPvq-WGeJt46t0Mi44thKgbhq_bS3xFZ5Thn7Mksm8hyVzm8oUXRMXd48SxZglpKfNFcY1n9EwzT3TFI5H2GQBNPqIsgPjunHUSEbpf9YcZPxZjvtqOgg_oCXKUOPQ40feXO8xHQzf9hMEK1sepAD6sp4Yar80k-9qWd3JVhrvK6_U3SOXfIVGsTJoz7UerbUw7fM-uBEfP_M94pIn-ksdXqktkSbbw3NJrBvUL-TDdju-YCF7ohie_sKfoDwSEk7fN3JZFUPcSaWoqkPzaxTVwJfBtspwTSvn-_oEh2DEBUUofdMdG9O_YyF_BhkeTEP1AP13vh8Iyf4fC5Vk-nylY2fp6oXL-bya2v7FiMPf3XF5ml4EcNbdLqftDizA2TbgREy2Hr5HogvPTTMp3kdBiYR1nTt0HR2gvOwYRYfk9oCx6LM2dkElCEvj695Wu5c46XTL7oN524xsDnp9QNr-WhWlANp9fkWoliG4EmSlJIlZgOc1aM_M3W6kUC2Hyb4arfnE-VOZLvpAfFUxnmihkgnXTlpKq4Q7ySg0umJWsuIqAa6HSFko_lM1Fo1MtHfkRvZtX5CzNi27vFzXtqRYLU7I2gRJsnCp9AljlhsAoKEO0U1cGEHTYYADpHE&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/2017233/img_id812150043564142874.jpeg/optimize,"лофт, минимализм, современный"
9,"Диван-кровать с ящиком для хранения Атланта, еврокнижка",диван,53138,98,216,86,рогожка,"серый, шоколадный",1,mnogomeb,https://market.yandex.ru/card/divan-krovat-s-yashchikom-dlya-khraneniya-atlanta-yevroknizhka-rogozhka-malmo-platina-216x98x86-sm/4721732653?do-waremd5=-v5uJ94WPYWmvj7s9DfYPA&sponsored=1&cpc=p15dh-ufUkJ5uKxdLHzHZeRWyr1XvxZHNV1VHQlusFRonxR1znlxnzw9G8I8o2pzSmh3NI8_t5vNW4VsGG9uDoMEOsMbur47ZHIWRr6jkHQJcyH32lEQgKp30KpSQ0VTf5ee5wfp3ilF7DtVddBiYUcJNrHEjpFQg16NBCOdVqTpySsOw1kZZjAJFAmkAOJJlvB1ZdSOBNjXhoqnRlQ-u_PohXTEDmZ_XnjWvHKRF2oHfx1d36ut3x72Du-swvscUm0O5po6ST-AaMVkVuUwvBBmbXADyrKMZQ7hRJu6dUq8DmwR0RIvwiXYXPRpW15q7x1PH4lsQMrDhvYiFnffTBXzlVu3GEwZLqeNNiLx-fkYsaBLsCErf2U0I943JkZL08Y6rWNQ02dmpLEGnsbFUQlFknTZujl92j1C9rHox17qTYlhCnTmFsWdO4Au_cYRumPfgbcfsiVACn4MSnhDrVbMK7wLaU0BC9MJdrtWU_oV9OgCj0EMQJjeXdwAZOfrqR4wW31Br4OGbw-5WrRBzMWXvotw5ARHRzkidU6YRGvWhs5hzAKaRPQJHrZD9ts646qFwgEmgW-IJNyR7QFHB5mUwLNEABLOqLMXY_EfK5IAOLO4qNZ6ydmZa3MGnBGgarRmTALbVG6t6G4d-6fEfeOe4ZJnp25I8hYheqstgYzCtRlADAQK8BXdH77z0PJvxLeWUSUrXA92e-5cc8i9zEiYoo_zBRdwV8Aa3Pdz8q18xN0VD7PknDcgX674nQh8ta8zorRM-TLqJcaiWDAhI31AiKEdF31ZXBGsl_CwSsk-dgD3Z2R9sQ3I7B9ff2WfFgm5d7DgzsyyvoWrsStr3oFEiIF19rifU2l6z17aM-zBWt8hIKmZysciANZyX0TN6V8SpcZ7GefW51REMCwllYtgf9var3vcZ4MYTNNfwCxzMwPt1SrrW8oX4lasaCIN4df4kE4rTLBJZFb8x0MijBPnH70bYE3VGOQLU7tjqui7wDlEqbO0mm29eINglWYcqXS6uC-Y8hd-9IR67PhmAHwL157XM6_tARqxN_td2oS0Y2FshaeiZA%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/15229008/2a0000019a13f88e437b8b9dcf99ef9d9449/optimize,"классический, современный"
10,Диван-кровать Hoff Атланта,диван,25199,79,226,87,рогожка,"синий, бежевый, кофе, коричневый, серый",1,hoff,https://market.yandex.ru/card/divan-krovat-atlanta-1101-siniy-moderno-05/4680158860?do-waremd5=ozHAvsVgxXbQ496NW_r-Dw&sponsored=1&cpc=p15dh-ufUkK1RNJum84h4y2pNghV18O2YWb4ukRJW2nvYB-sNJied0opwh1NGxsXY1SG8FPHMmXAPpd87pmwYtIvPt5birGvtXq4MSy4SOzz8EWaUMv9ZgDQO9Wx3IxTQ4KIZb9E5WcAdJtUruesHzlcoeKVlqB2kWO-8jgr_txvOvMuvfj5v26nIn2oR1nBiKXiM4bAB2ABUQ6_i7oBLrs7twtzGg9pS5Y8hr-t2W7s0GFLHJaIGWDOEy_B-XtfjCNjzOiKAud4DIKglEueRVuaNTAcKzreGsAsu6hhcqeya5ph1VsuGWWpeaL_yZOwWCpkX5wcSbpL31w5G9lrg4b63M8m68GHRSm0TfGzUQ22ynwn8DI_c2uylFk5bFgbesMiWos4Rrhtd0CmVV1gl0Vca_e3fx2mISSdP1kZBQ8Fz0rhm7laSIw161xRYU4rdExqh3PkrrSvMSySQy3VVkR0nyQpgif1Y480JiiYIQ2TwB_y2xTiy3tKJe80pRmSh5zGxrbEQFGo3CmuLgW9waIVq6Ysdcxnq_EilHUARkvxO4DK6XoJvYb2rWa_FWhNDZ7nCr2QfJftYgndLGzTkT1tq8-i0_zuARBDvDpfIM-HPWjaz1Ax5MBL6BjiVCaSXmr0GPDS1jjeKMh9N7MWYisvf9hn894ONrbNrK-h-ouGQgx2hYsrdTawh2Pk3203ejH6899qp5DNRz6_38ds5_tkwOS_wFR_TaenVieg_zxh5AFn9nNO1UemCqmAnavGSjWQQ-om2ZXZ82ePwGqua8QesqdSvnK1o2-ibZPUYSYH2Dfbm2w-Bho6Wtu4JsHsWWIqq_obYhE7Fb_YsFqnmQ-JP0pCu5Rpv7pdFJhlsqjN2ZzoMw0bzMO3-0VhLpdd_qX5U1kX2e-NUaaaX95BxvLAqEZ-yX0CcDpRqe69UaMPduJR5M2ywcDdwfqm3VyC9O-Hoo6OM47Cyhm-UwBb42EiMarZQs6Y9eIhKxMEj40FactnrDrA2F2fdafzusvProti8ObAKpuyu4SlJceaGw%2C%2C&nid=61984830&ogV=-12,https://avatars.mds.yandex.net/get-mpic/1374520/2a00000190ce7ecdd3bf503a51c6e2877778/optimize,современный
